non_terminal,return,!,<>,while,<=,==,<,&&,",",++,-,{,;,+,|,--,=,char,get,digit,#,(,),&,void,||,},int,id,>=,if,put,>,else,$
逻辑表达式,,{'63'},,,,,,,,,,,,,,,,,{'64'},{'64'},,{'64'},{'synch'},,,,,,{'64'},,,{'64'},,,
函数块,{'41'},,,{'41'},,,,,,,,,{'41'},,,,,{'41'},{'41'},,,,,,{'41'},,{'41'},{'41'},{'41'},,{'41'},{'41'},,,
参数列表,,,,,,,,,,,,,,,,,,,,{'56'},,,{'synch'},,,,,,{'56'},,,,,,
类型,,,,,,,,,,,,,,,,,,{'12'},{'synch'},,,,,,{'13'},,,{'11'},{'synch'},,,{'synch'},,,
return语句,{'80'},,,{'synch'},,,,,,,,,{'synch'},,,,,{'synch'},{'synch'},,,,,,{'synch'},,{'synch'},{'synch'},{'synch'},,{'synch'},{'synch'},,,
赋值函数,{'synch'},,,{'synch'},,,,,,,,,{'synch'},,,,,{'synch'},{'53'},,,,,,{'synch'},,{'synch'},{'synch'},{'53'},,{'synch'},{'53'},,,
参数声明,,,,,,,,,,,,,,,,,,{'33'},,,,,{'34'},,{'33'},,,{'33'},,,,,,,
if语句,{'synch'},,,{'synch'},,,,,,,,,{'synch'},,,,,{'synch'},{'synch'},,,,,,{'synch'},,{'synch'},{'synch'},{'synch'},,{'76'},{'synch'},,,
else语句,{'79'},,,{'79'},,,,,,,,,"{'78', '79'}",,,,,{'79'},{'79'},,,,,,{'79'},,{'79'},{'79'},{'79'},,{'79'},{'79'},,{'77'},
赋初值,,,,,,,,,{'37'},,,,{'37'},,,,{'36'},,,,,,{'37'},,,,,,,,,,,,
因式递归,,,{'27'},,{'27'},{'27'},{'27'},{'27'},{'27'},,{'27'},,{'27'},{'27'},{'27'},,,,,,,,{'27'},{'27'},,{'27'},,,,{'27'},,,{'27'},,
函数调用参数,,,{'23'},,{'23'},{'23'},{'23'},{'23'},{'23'},,{'23'},,{'23'},{'23'},{'23'},,,,,,,{'22'},{'23'},{'23'},,{'23'},,,,{'23'},,,{'23'},,
后缀表达式,,,,,,,,,,,,,,,,,,,{'73'},,,,,,,,,,{'73'},,,{'73'},,,
因子,,,{'synch'},,{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},,{'synch'},,{'synch'},{'synch'},{'synch'},,,,{'26'},{'26'},,{'26'},{'synch'},{'synch'},,{'synch'},,,{'26'},{'synch'},,{'26'},{'synch'},,
多变量声明,,,,,,,,,{'synch'},,,,{'synch'},,,,,,{'42'},,,,,,,,,,{'42'},,,{'42'},,,
声明语句,{'synch'},,,{'synch'},,,,,,,,,{'synch'},,,,,{'45'},{'synch'},,,,,,{'45'},,{'synch'},{'45'},{'synch'},,{'synch'},{'synch'},,,
类型变量,,,,,,,,,{'synch'},,,,{'synch'},,,,,{'3'},,,,{'synch'},,,{'3'},,,{'3'},,,,,,,
空语句,{'synch'},,,{'synch'},,,,,,,,,{'81'},,,,,{'synch'},{'synch'},,,,,,{'synch'},,{'synch'},{'synch'},{'synch'},,{'synch'},{'synch'},,,
表达式,,,{'synch'},,{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},,,,{'synch'},,,,,,{'25'},{'25'},,{'25'},{'synch'},,,{'synch'},,,{'25'},{'synch'},,{'25'},{'synch'},,
全局变量闭包,,,,,,,,,{'7'},,,,{'8'},,,,,{'synch'},,,,,,,{'synch'},,,{'synch'},,,,,,,{'synch'}
函数或声明列表,,,,,,,,,,,,,,,,,,{'1'},,,,,,,{'1'},,,{'1'},,,,,,,{'2'}
数字,,,{'synch'},,{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},,{'synch'},,{'synch'},{'synch'},{'synch'},,,,,{'24'},,,{'synch'},{'synch'},,{'synch'},,,,{'synch'},,,{'synch'},,
因式,,,{'synch'},,{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},,{'synch'},,{'synch'},{'synch'},{'synch'},,,,{'20'},{'21'},,{'19'},{'synch'},{'synch'},,{'synch'},,,{'20'},{'synch'},,{'20'},{'synch'},,
函数块闭包,{'51'},,,{'48'},,,,,,,,,{'50'},,,,,{'46'},{'47'},,,,,,{'46'},,{'52'},{'46'},{'47'},,{'49'},{'47'},,,
程序,,,,,,,,,,,,,,,,,,{'0'},,,,,,,{'0'},,,{'0'},,,,,,,{'0'}
逻辑运算符,,,{'69'},,{'70'},{'67'},{'65'},{'71'},,,,,,,,,,,{'synch'},{'synch'},,{'synch'},,,,{'72'},,,{'synch'},{'68'},,{'synch'},{'66'},,
参数,,,,,,,,,{'61'},,,,,,,,,,,{'60'},,,{'61'},,,,,,{'59'},,,,,,
声明闭包,,,,,,,,,{'39'},,,,,,,,,,,,,,{'40'},,,,,,,,,,,,
